seed,dq,dp,de,dgf,dgm,dg1,dg2,dg3,dg4,pf,pm,p1,p2,p3,p4,blue_daf,blue_dam,blue_da1,blue_da2,blue_da3,blue_da4,pink_daf,pink_dam,pink_da1,pink_da2,pink_da3,pink_da4,blue_laf,blue_lam,blue_la1,blue_la2,blue_la3,blue_la4,pink_laf,pink_lam,pink_la1,pink_la2,pink_la3,pink_la4,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x
988417364,0.4,0.6,0.1,2,1,2,2,2,1,-0.058070408,-0.337881397,-0.054402749,-0.08770655,-0.178181505,-0.866363777,1,1,2,2,2,1,2,1,1,1,1,1,3,3,4,3,4,3,4,4,4,3,3,3,623,0.450201106,0,0.4272098133,0.8582923705,0,0.4127457735,-2.663637765
614561894,0.4,0.6,0.1,2,1,2,2,2,2,0.0882637106,-0.54524206,0.0201971579,0.0788007294,-0.088914946,-0.011540847,2,1,2,2,2,2,1,1,1,1,1,1,5,1,2,5,5,2,2,3,3,3,1,1,624,0.0805050997,1,0.1691390319,0.9120670454,0,0.4420028079,-0.11540847
812204343,0.4,0.6,0.1,1,1,1,1,1,1,-0.548717989,-0.514826226,-0.632776974,-0.659791574,-0.572411415,-0.755437812,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,1,1,1,1,1,625,0.7721834321,0,0.564057288,0.0531689171,1,0.5454911401,-1.554378117
1341843444,0.4,0.6,0.1,2,1,1,1,1,2,0.1583466313,-0.640262657,-0.806837725,-0.784241626,-0.582497228,-0.100395924,1,1,1,1,1,2,2,1,1,1,1,1,6,3,6,3,6,6,3,2,3,3,3,3,626,0.2293232098,1,0.7960137649,0.3153443897,1,0.5987935823,-1.003959239
1609835719,0.4,0.6,0.1,2,2,2,1,3,2,0.0918966244,-0.009145064,0.0362922535,-0.670049903,0.7898424465,-0.000212917,2,2,1,1,2,1,1,1,2,1,2,2,6,4,6,5,6,6,5,6,6,6,4,6,627,0.0205134358,1,0.6957707241,0.0856386628,1,0.4847620444,-0.002129171
1113542000,0.4,0.6,0.1,1,3,2,2,2,2,-0.598992706,0.6387076498,-0.121698287,-0.094397398,0.0115570176,-0.220303784,1,2,1,1,1,1,1,2,2,2,2,2,2,6,5,5,5,2,5,3,3,3,3,6,628,0.4820782489,0,0.0753122969,0.6552335344,0,0.3731209908,-2.203037845
1596889066,0.4,0.6,0.1,3,1,2,2,2,2,0.7396875463,-0.5835753,0.0543792497,0.072209075,0.1488897799,-0.010911532,2,1,2,2,2,2,2,1,1,1,1,1,3,4,3,3,3,3,3,1,4,4,1,4,629,0.1400454734,1,0.3875151143,0.9007867388,0,0.4708887518,-0.109115319
995310621,0.4,0.6,0.1,1,3,2,2,2,2,-0.604086166,0.7959791159,0.1607681363,0.0285466804,0.1039048707,-0.150620135,1,2,1,1,1,1,1,2,2,2,2,2,5,1,5,4,5,5,4,3,1,3,1,3,630,0.1074458738,1,0.9709861963,0.3847066352,1,0.4932909284,-1.506201347
1615282857,0.4,0.6,0.1,2,2,2,2,3,2,0.1795242173,0.1529059767,-0.192590334,0.0687620525,0.7499383412,0.0027642403,1,1,2,2,2,1,2,2,1,1,2,2,3,1,5,5,5,3,5,5,5,5,1,5,631,0.5018530914,0,0.4947245421,0.5374697994,0,0.7289815148,0.027642403
814377818,0.4,0.6,0.1,1,1,1,1,1,1,-0.601203901,-0.690555907,-0.683999751,-0.574378361,-0.484863135,-0.709644312,1,1,1,1,1,1,1,1,1,1,1,1,3,6,3,1,3,3,1,4,6,4,4,4,632,0.4127775768,0,0.411497384,0.6092805265,0,0.5028334938,-1.096443118
